ts,networks,ports,peak_gbps,current_gbps,capacity_gbps
2026-08-21T09:31:30Z,141,188,1116.82,718.5,8358
2026-08-21T09:54:25Z,141,188,1116.82,742.99,8358
2026-08-21T11:02:00Z,141,188,1116.82,775.5,8358
2026-08-21T12:02:44Z,141,188,1116.82,811.87,8358
2026-08-21T14:08:56Z,141,188,1116.82,826.89,8358
2026-08-21T15:53:45Z,141,188,1116.82,833.52,8358
2026-08-21T17:06:16Z,141,188,1116.82,830.45,8358
2026-08-21T18:03:39Z,141,188,1116.82,863.84,8358
2026-08-21T19:33:39Z,141,188,1116.82,957.64,8358
2026-08-21T20:44:59Z,141,188,1116.82,957.18,8358
2026-08-21T21:45:49Z,141,188,1116.82,793.53,8358
2026-08-21T22:55:14Z,141,188,1116.82,602.72,8358
2026-08-21T23:51:36Z,141,188,1116.82,470.95,8358
2026-08-22T03:08:27Z,141,188,1116.82,258.7,8358
2026-08-22T04:57:04Z,141,188,1116.82,346,8358
2026-08-22T05:57:43Z,141,188,1116.82,429.79,8358
2026-08-22T07:46:08Z,141,188,1116.82,588.69,8358
2026-08-22T09:02:38Z,141,188,1116.82,653.41,8358
2026-08-22T09:56:36Z,141,188,1116.82,704.01,8358
2026-08-22T10:52:54Z,141,188,1116.82,753.77,8358
2026-08-22T11:42:23Z,141,188,1116.82,771.43,8358
2026-08-22T13:21:12Z,141,188,1116.82,811.3,8358
2026-08-22T13:59:59Z,141,188,1116.82,795.84,8358
2026-08-22T14:52:39Z,141,188,1116.82,839.38,8358
2026-08-22T15:44:05Z,141,188,1116.82,807.73,8358
2026-08-22T16:01:17Z,141,188,1116.82,807.73,8358
2026-08-22T16:58:58Z,141,188,1116.82,810.64,8358
2026-08-22T17:49:20Z,141,188,1116.82,816.92,8358
2026-08-22T19:02:15Z,141,188,1116.82,891.75,8358
2026-08-22T19:51:31Z,141,188,1116.82,914.7,8358
2026-08-22T20:52:22Z,141,188,1116.82,872.1,8358
2026-08-22T21:44:03Z,141,188,1116.82,771.73,8358
2026-08-22T22:43:10Z,141,188,1116.82,676.35,8358
2026-08-22T23:39:26Z,141,188,1116.82,479.41,8358
2026-08-23T00:01:39Z,141,188,1116.82,479.41,8358
2026-08-23T03:32:15Z,141,188,1116.82,275.24,8358
2026-08-23T05:06:25Z,141,188,1116.82,329.82,8358
2026-08-23T06:02:07Z,141,188,1116.82,421.11,8358
2026-08-23T07:51:31Z,141,188,1116.82,611.47,8358
2026-08-23T09:01:49Z,141,188,1116.82,684.9,8358
2026-08-23T09:58:15Z,141,188,1116.82,729.54,8358
2026-08-23T10:54:18Z,141,188,1116.82,804.38,8358
2026-08-23T11:43:00Z,141,188,1116.82,843.32,8358
2026-08-23T13:22:14Z,141,188,1116.82,900.22,8358
2026-08-23T14:03:15Z,141,188,1116.82,902.92,8358
2026-08-23T14:59:11Z,141,188,1116.82,892.58,8358
2026-08-23T15:49:58Z,141,188,1116.82,888.21,8358
2026-08-23T16:56:27Z,141,188,1116.82,883.76,8358
2026-08-23T17:42:16Z,141,188,1116.82,893.53,8358
2026-08-23T18:01:42Z,141,188,1116.82,893.53,8358
2026-08-23T19:10:14Z,141,188,1116.82,933.33,8358
2026-08-23T19:50:30Z,141,188,1116.82,974.06,8358
2026-08-23T20:52:05Z,141,188,1116.82,970.24,8358
2026-08-23T21:42:50Z,141,188,1116.82,848.16,8358
2026-08-23T22:01:30Z,141,188,1116.82,848.16,8358
2026-08-23T22:55:32Z,141,188,1116.82,568.54,8358
2026-08-23T23:42:09Z,141,188,1116.82,428.21,8358
